Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
104387	3897.74	13.42
104400	41706.2	82.68
104402	19473.79	63.73
104407	216.65	-1.24
104408	1254.17	3.74
104409	185063.75	81.18
10441133	300.77	-0.3
10442161	277.97	-0.08
104424	273.22	-0.3
104427	23680.19	97.79
104428	2408.95	10.31
104431	6881.02	29.28
104447	852.46	0.52
104450	376.16	-0.91
104454	379.85	0.13
104456	814791.64	83.16
104458	6467.36	21.57
104460	696.27	3.71
104469	2863.83	12.85
104475	2733.05	-0.45
104477	2630.73	7.3
104481	465.41	2.14
104483	51663.73	92.95
104484	394.26	1.16
104490	21360.21	58.32
104499	473.6	0.1
104504	310786.34	62.8
10450649	4177.82	2.95
104510	434.79	0.45
104511	1888.42	7.08
104523	230.22	-1.13
104525	297.95	0.65
10452548	3295.14	12.22
104528	193.82	-1.79
104531	382.95	1.93
104533	3172.11	3.89
104539	2654.4	16.61
104547	7397.91	14.11
104549	591.31	0.24
10455177	131.97	-1.35
104557	2120.99	11.67
104562	34868.75	52.48
104564	95303.06	58.5
104566	9023.45	26.09
104569	26962.86	58.97
104572	783.74	2.5
104576	570.24	2.72
104577	626.52	2.25
104585	1308.33	0.02
104588	2352.54	6.12
104590	108.77	-1.35
104594	872106.67	113.05
10459528	1311.2	10.93
10460534	948.15	5.53
104610	1660.53	7.24
10461026	2239.12	7.2
104615	3411.65	14.65
104619	27933.12	65.97
104621	4273.18	6.02
104625	892160.89	98.61
104627	7390.32	32.3
104634	578.3	-1.52
104638	12676.67	38.54
104641	1319.83	-0.41
104642	109.39	1.13
104648	183.99	-0.36
104651	2199.1	17
104667	3586.29	7.8
104683	59719.44	73.15
104690	8027.49	39.16
104697	5990.61	3.06
104701	376.64	-0.36
104706	212.79	1.21
104707	383.12	0.68
104708	242.02	0.13
104709	559.48	1.72
104711	359.79	0.56
10471331	2704.82	14.16
104716	3488.67	5.15
104718	4355.24	13.05
104721	686.47	2.65
104723	3553.35	12.88
104728	2621.68	19.28
104731	59661.03	83.63
104739	3099.02	15.84
104741	19352.35	39.54
104742	7928.26	18.9
104743	12625.36	28.07
104745	2961.69	9.87
104748	8341.9	12.22
104750	14010.01	26.39
104760	660.16	2.34
104762	2490.13	11.17
104763	1362.37	5.76
104764	2825.68	10.06
104767	410.76	-0.07
104770	13529.9	31.94
104771	7225.61	9.65
104772	15938.41	38.26
104774	2458.83	12.04
104777	219.75	0.11
104778	251.57	1.38
104782	101612.33	85.74
104785	190.09	0.19
104791	4329.21	10.39
10480018	4206.83	20
104824	551.53	2.28
104827	260.77	-1.44
104831	132.81	-1.89
104851	278.46	-0.94
104861	45266.98	45.46
104862	319.97	-0.18
104870	4214.71	24.94
104873	15423.1	30.73
104878	411.9	0.42
104890	7348.83	25.71
104893	1089.42	1.7
104900	3924.43	6.05
104901	100925.25	85.9
104905	4873.07	13.22
104921	3391.53	17.17
104923	2326.65	10.27
104925	58695.17	73.56
104926	351.53	0.02
104931	2859.18	3.35
104932	605.95	4.44
104934	3951.23	14.7
104936	225.13	-0.17
104939	1396.64	3.48
104942	1719.47	6.4
104945	4035.89	7.79
104948	1790.31	6.31
104952	491.9	1.24
104955	7666.73	11.57
104959	1355.26	5.97
104977	256.73	0.13
104984	541.43	1.6
104988	34687.38	74.4
104996	286.35	1.24
105004	14003.83	58.39
105010	1237.06	14.01
105011	644.25	3.51
105014	1135.03	5.5
105018	9169.34	9.72
105029	1039.63	0.79
105030	28309.16	67.92
105040	35539.74	105.31
105052	567.15	0.32
105053	3982.54	10.95
105056	154171.69	95.23
105061	1157.19	2.24
105062	272.48	-0.28
105064	1026.04	2.51
105075	317.06	-1.48
105079	3724.31	15.18
