Probe_ID	Gene_ID	Signal_P/2a-3_OKhymenets_220905	SDEV_P/2a-3_OKhymenets_220905	CV_P/2a-3_OKhymenets_220905	S_N_P/2a-3_OKhymenets_220905	Flags_P/2a-3_OKhymenets_220905	Assay_Normalized_Signal_P/2a-3_OKhymenets_220905	Row_P/2a-3_OKhymenets_220905	Column_P/2a-3_OKhymenets_220905	X_P/2a-3_OKhymenets_220905	Y_P/2a-3_OKhymenets_220905	CL_Sig_P/2a-3_OKhymenets_220905	CL_Sig_Error_P/2a-3_OKhymenets_220905	CL_Raw_P/2a-3_OKhymenets_220905	CL_Raw_SDEV_P/2a-3_OKhymenets_220905	Image_Area_P/2a-3_OKhymenets_220905
146543	hCG1813899.1	1662.88	346.96	0.21	4.79	0	1.14	149	21	413.02	698.71	1702.02	175.29	11525.38	0	2
146548	hCG41099.3	7912.07	219.61	0.05	36.03	0	4.95	7	94	1183.71	460.38	8060.55	221.58	17186.97	0	1
146549	hCG1820552.2	3109.61	438.01	0.14	7.1	0	2.14	237	102	1278.18	1629.22	2231.02	171.41	11765.95	0	2
146550	hCG23416.2	2236.61	1420.35	0.64	1.57	0	1.54	141	68	912.74	611.75	2626.28	249.88	17097.36	0	2
146556	hCG16175.3	8443.67	245.27	0.05	34.43	0	5.29	51	56	782.77	929.24	9103.58	231.59	18654.46	0	1
146559	hCG18399.4	1346.86	283.09	0.21	4.76	0	0.93	222	109	1351.34	1471.93	1336.32	170.55	10888.32	0	2
146560	hCG28145.4	70846.95	2072.17	0.04	34.19	0	48.71	156	141	1689.14	768.47	56349.43	274.22	69445.87	0	2
146563	hCG2041722	483.08	193.16	0.4	2.5	0	0.3	96	115	1411.05	1405.3	309.73	229.83	10159.92	0	1
146564	hCG21969.3	221.84	221.84	7.05	-0.14	1	0.14	8	159	1872.47	469.46	-220.36	184.42	7579.98	0	1
146568	hCG41006.2	934.89	243.89	0.26	3.83	0	0.59	25	32	526	653.58	829.11	240.55	11145.12	0	1
146573	hCG1788856.2	1293.35	1293.35	0.93	-1.08	1	0.81	45	144	1718.04	861.46	-1784.66	333.12	12754.57	0	1
146578	hCG1986010	439.09	184.9	0.42	2.37	0	0.3	131	73	965.91	505.17	372.8	204.4	12123.46	0	2
146580	hCG41243.3	361.25	361.25	16.59	-0.06	1	0.25	209	62	851.22	1335.99	-251.72	196.97	11059.22	0	2
146582	hCG18368.3	8274.63	373.4	0.06	22.16	0	5.18	88	44	655.92	1323.74	9684.23	257.45	20425.3	0	1
